Bundle Size,Run,callGasLimit,verificationGasLimit,preVerificationGas,maxFeePerGas,maxPriorityFeePerGas,Fitness
1000,2,20007.0,20007.0,21071.0,1.0092845012578633,1.0092635485391235,1.0425621332659065
1000,3,20000.0,20011.0,21018.0,1.037167409341655,1.0356062217955802,1.0436664160664888
1000,4,20026.0,20017.0,21012.0,1.1154027326531275,1.1133782089113304,1.0470282089117295
1000,5,20014.0,20005.0,21004.0,1.2248997271441366,1.2248900320081104,1.051502414863459
1000,6,20038.0,20002.0,21010.0,1.1302534497779433,1.1296982632566468,1.0475997428854429
1000,7,20005.0,20125.0,21068.0,1.0028325001813765,1.0021926253957498,1.0425345163512654
1000,8,20003.0,20003.0,21088.0,1.0057047512638948,1.0053448635197608,1.0424390749614532
1000,9,20001.0,20017.0,21024.0,1.0067168128105517,1.005389275601346,1.0424051131728234
1000,10,20004.0,20021.0,21003.0,1.0507951740097556,1.0493662583382437,1.0442336403829893
1000,11,20043.0,20054.0,21011.0,1.0230460112191544,1.022249690454578,1.0432119177091579
1000,12,20015.0,20003.0,21002.0,1.0692235207085266,1.069113854190075,1.0449533349462912
1000,13,20003.0,20003.0,21008.0,1.0041251460088132,1.000352106468086,1.042310736960586
1000,14,20011.0,20003.0,21028.0,1.0104310449029796,1.0103072521411707,1.0425265648844935
1000,15,20017.0,20017.0,21061.0,1.0614208613976899,1.0580974789702056,1.044877408511435
1000,16,20031.0,20000.0,21025.0,1.0601917786348452,1.0601864378654726,1.0446469507650993
1000,17,20043.0,20005.0,21001.0,1.0251264724212237,1.024034140295153,1.0431873983433706
1000,18,20150.0,20000.0,21162.0,1.0779827761287661,1.0740890979492868,1.0460596396893254
1000,19,20070.0,20035.0,21003.0,1.0780100829633108,1.0747417503088743,1.0456037023294311
1000,20,20011.0,20016.0,21012.0,1.0100176266988892,1.009370773887696,1.0425182552005008
